cliente_id,Mes,tipo_zona,Suma de churn,Avg Satisfaccion,tipo_plan,Promedio de ingreso_estimado,Suma de importe_total,Promedio de antiguedad_meses,factura_1,factura_mm,churn_+3,Prediccion_Churn_3M,Probabilidad_Churn_%
C000001,2026-02-01,urbana_premium,0,34.0,Prepago,43350.0,159530.0,"720,00",145730,152630.0,0,0,15.88
C000001,2026-03-01,urbana_premium,0,32.5,Prepago,43350.0,167270.0,"720,00",159530,163400.0,0,0,12.06
C000001,2026-04-01,urbana_premium,0,45.0,Prepago,43350.0,116730.0,"720,00",167270,142000.0,0,0,22.53
C000001,2026-05-01,urbana_premium,0,30.0,Prepago,43350.0,129500.0,"720,00",116730,123115.0,0,0,30.83
C000001,2026-06-01,urbana_premium,0,30.0,Prepago,43350.0,177900.0,"720,00",129500,153700.0,0,0,25.07
C000001,2026-07-01,urbana_premium,0,37.5,Prepago,43350.0,164800.0,"720,00",177900,171350.0,0,0,11.62
C000001,2026-08-01,urbana_premium,0,40.0,Prepago,43350.0,158640.0,"720,00",164800,161720.0,0,0,12.0
C000001,2026-09-01,urbana_premium,0,,Prepago,34568.127921801955,152130.0,,158640,155385.0,0,0,15.6
C000001,2026-10-01,urbana_premium,0,40.0,Prepago,43350.0,143490.0,"720,00",152130,147810.0,0,0,12.04
C000001,2026-11-01,urbana_premium,0,,Prepago,34568.127921801955,92450.0,,143490,117970.0,0,0,23.43
C000001,2026-12-01,urbana_premium,0,,Prepago,34568.127921801955,101020.0,,92450,96735.0,0,1,75.01
C000002,2026-02-01,suburbana,0,40.0,Premium,46090.0,361900.0,"350,00",250790,306345.0,0,0,29.52
C000002,2026-03-01,suburbana,0,36.66666666666666,Premium,46090.0,590340.0,"350,00",361900,476120.0,0,0,24.57
C000002,2026-04-01,suburbana,0,30.0,Premium,46090.0,391620.0,"350,00",590340,490980.0,0,0,36.77
C000002,2026-05-01,suburbana,0,34.54545454545455,Premium,46090.0,365640.0,"350,00",391620,378630.0,0,0,20.13
C000002,2026-06-01,suburbana,0,33.333333333333336,Premium,46090.0,373790.0,"350,00",365640,369715.0,0,0,15.75
C000002,2026-07-01,suburbana,0,35.0,Premium,46090.0,353560.0,"350,00",373790,363675.0,0,0,23.18
C000002,2026-08-01,suburbana,0,40.0,Premium,46090.0,376510.0,"350,00",353560,365035.0,0,0,22.0
C000002,2026-09-01,suburbana,0,40.0,Premium,46090.0,364700.0,"350,00",376510,370605.0,0,0,20.32
C000002,2026-10-01,suburbana,0,50.0,Premium,46090.0,254290.0,"350,00",364700,309495.0,0,0,21.7
C000002,2026-11-01,suburbana,0,25.0,Premium,46090.0,341880.0,"350,00",254290,298085.0,0,0,20.94
C000002,2026-12-01,suburbana,0,40.0,Premium,46090.0,348210.0,"350,00",341880,345045.0,0,0,15.78
C000003,2026-02-01,suburbana,0,31.818181818181817,Prepago,18360.0,153370.0,"110,00",97360,125365.0,0,1,51.91
C000003,2026-03-01,suburbana,0,33.333333333333336,Prepago,18360.0,166470.0,"110,00",153370,159920.0,0,0,37.12
C000003,2026-04-01,suburbana,0,38.0,Prepago,18360.0,175500.0,"110,00",166470,170985.0,1,1,55.56
C000003,2026-05-01,suburbana,0,40.0,Prepago,18360.0,187300.0,"110,00",175500,181400.0,1,1,53.41
C000003,2026-06-01,suburbana,0,33.75,Prepago,18360.0,181380.0,"110,00",187300,184340.0,1,1,55.62
C000003,2026-07-01,suburbana,1,40.0,Prepago,18360.0,157250.0,"110,00",181380,169315.0,0,0,47.69
C000003,2026-08-01,suburbana,0,45.0,Prepago,18360.0,92380.0,"110,00",157250,124815.0,0,0,24.79
C000003,2026-09-01,suburbana,0,37.5,Prepago,18360.0,92380.0,"110,00",92380,92380.0,0,0,45.77
C000003,2026-10-01,suburbana,0,50.0,Prepago,18360.0,92380.0,"110,00",92380,92380.0,0,0,49.9
C000003,2026-11-01,suburbana,0,40.0,Prepago,18360.0,92540.0,"110,00",92380,92460.0,0,1,50.34
C000003,2026-12-01,suburbana,0,40.0,Prepago,18360.0,92840.0,"110,00",92540,92690.0,0,1,50.34
C000004,2026-02-01,suburbana,0,34.54545454545455,Prepago,23180.0,51740.0,"130,00",66680,59210.0,0,1,53.49
C000004,2026-03-01,suburbana,0,34.0,Prepago,23180.0,89310.0,"130,00",51740,70525.0,0,1,62.85
C000004,2026-04-01,suburbana,0,40.0,Prepago,23180.0,85710.0,"130,00",89310,87510.0,0,1,65.16
C000004,2026-05-01,suburbana,0,40.0,Prepago,23180.0,99890.0,"130,00",85710,92800.0,0,1,62.35
C000004,2026-06-01,suburbana,0,50.0,Prepago,23180.0,105420.0,"130,00",99890,102655.0,0,1,63.93
C000004,2026-07-01,suburbana,0,40.0,Prepago,23180.0,92740.0,"130,00",105420,99080.0,0,1,56.9
C000004,2026-08-01,suburbana,0,42.5,Prepago,23180.0,91510.0,"130,00",92740,92125.0,0,1,58.81
C000004,2026-09-01,suburbana,0,34.0,Prepago,23180.0,75680.0,"130,00",91510,83595.0,0,1,60.97
C000004,2026-10-01,suburbana,0,,Prepago,34568.127921801955,67360.0,,75680,71520.0,0,1,56.86
C000004,2026-11-01,suburbana,0,30.0,Prepago,23180.0,66180.0,"130,00",67360,66770.0,0,1,58.1
C000004,2026-12-01,suburbana,0,50.0,Prepago,23180.0,64350.0,"130,00",66180,65265.0,0,1,58.79
C000005,2026-02-01,suburbana,0,40.0,Contrato,21840.0,281380.0,"210,00",277390,279385.0,0,0,28.0
C000005,2026-03-01,suburbana,0,30.0,Contrato,21840.0,192560.0,"210,00",281380,236970.0,0,0,24.12
C000005,2026-04-01,suburbana,0,35.0,Contrato,21840.0,285890.0,"210,00",192560,239225.0,0,0,23.66
C000005,2026-05-01,suburbana,0,35.0,Contrato,21840.0,308170.0,"210,00",285890,297030.0,0,0,21.07
C000005,2026-06-01,suburbana,0,30.0,Contrato,21840.0,315970.0,"210,00",308170,312070.0,0,0,32.89
C000005,2026-07-01,suburbana,0,30.0,Contrato,21840.0,318030.0,"210,00",315970,317000.0,0,0,46.96
C000005,2026-08-01,suburbana,0,40.0,Contrato,21840.0,224420.0,"210,00",318030,271225.0,0,0,29.46
C000005,2026-09-01,suburbana,0,37.5,Contrato,21840.0,284640.0,"210,00",224420,254530.0,0,0,23.84
C000005,2026-10-01,suburbana,0,35.0,Contrato,21840.0,195900.0,"210,00",284640,240270.0,0,0,19.74
C000005,2026-11-01,suburbana,0,37.5,Contrato,21840.0,193150.0,"210,00",195900,194525.0,0,0,42.42
C000005,2026-12-01,suburbana,0,35.0,Contrato,21840.0,280550.0,"210,00",193150,236850.0,0,0,24.81
C000006,2026-02-01,suburbana,0,27.5,Prepago,24110.0,180980.0,"860,00",164170,172575.0,0,0,25.55
C000006,2026-03-01,suburbana,0,30.0,Prepago,24110.0,77330.0,"860,00",180980,129155.0,0,0,39.42
C000006,2026-04-01,suburbana,0,,Prepago,34568.127921801955,207140.0,,77330,142235.0,0,0,38.42
C000006,2026-05-01,suburbana,0,30.0,Prepago,24110.0,211100.0,"860,00",207140,209120.0,0,0,18.76
C000006,2026-06-01,suburbana,0,,Prepago,34568.127921801955,283680.0,,211100,247390.0,0,0,12.06
C000006,2026-07-01,suburbana,0,37.5,Prepago,24110.0,287380.0,"860,00",283680,285530.0,0,0,9.23
C000006,2026-08-01,suburbana,0,25.0,Prepago,24110.0,182600.0,"860,00",287380,234990.0,0,0,11.62
C000006,2026-09-01,suburbana,0,38.0,Prepago,24110.0,175210.0,"860,00",182600,178905.0,0,0,29.98
C000006,2026-10-01,suburbana,0,33.333333333333336,Prepago,24110.0,168250.0,"860,00",175210,171730.0,0,0,30.09
C000006,2026-11-01,suburbana,0,33.333333333333336,Prepago,24110.0,110780.0,"860,00",168250,139515.0,0,0,26.38
C000006,2026-12-01,suburbana,0,30.0,Prepago,24110.0,156450.0,"860,00",110780,133615.0,0,0,42.98
C000007,2026-02-01,urbana_premium,0,40.0,Prepago,23690.0,237310.0,"150,00",238990,238150.0,0,0,10.8
C000007,2026-03-01,urbana_premium,0,35.0,Prepago,23690.0,246940.0,"150,00",237310,242125.0,0,0,13.74
C000007,2026-04-01,urbana_premium,0,36.66666666666666,Prepago,23690.0,247350.0,"150,00",246940,247145.0,0,0,10.12
C000007,2026-05-01,urbana_premium,0,20.0,Prepago,23690.0,182100.0,"150,00",247350,214725.0,0,0,9.98
C000007,2026-06-01,urbana_premium,0,30.0,Prepago,23690.0,275770.0,"150,00",182100,228935.0,0,0,26.99
C000007,2026-07-01,urbana_premium,0,38.0,Prepago,23690.0,273620.0,"150,00",275770,274695.0,0,0,9.84
C000007,2026-08-01,urbana_premium,0,50.0,Prepago,23690.0,252130.0,"150,00",273620,262875.0,0,0,8.94
C000007,2026-09-01,urbana_premium,0,37.5,Prepago,23690.0,246710.0,"150,00",252130,249420.0,0,0,11.71
C000007,2026-10-01,urbana_premium,0,33.333333333333336,Prepago,23690.0,163570.0,"150,00",246710,205140.0,0,0,9.02
C000007,2026-11-01,urbana_premium,0,,Prepago,34568.127921801955,228320.0,,163570,195945.0,0,0,18.81
C000007,2026-12-01,urbana_premium,0,40.0,Prepago,23690.0,156550.0,"150,00",228320,192435.0,0,0,11.77
C000008,2026-02-01,urbana_premium,0,45.0,Premium,80880.0,293520.0,"640,00",418500,356010.0,0,0,11.67
C000008,2026-03-01,urbana_premium,0,36.66666666666666,Premium,80880.0,311890.0,"640,00",293520,302705.0,0,0,27.39
C000008,2026-04-01,urbana_premium,0,32.5,Premium,80880.0,442440.0,"640,00",311890,377165.0,0,0,10.46
C000008,2026-05-01,urbana_premium,0,34.0,Premium,80880.0,445450.0,"640,00",442440,443945.0,0,0,4.14
C000008,2026-06-01,urbana_premium,0,40.0,Premium,80880.0,450730.0,"640,00",445450,448090.0,0,0,4.41
C000008,2026-07-01,urbana_premium,0,50.0,Premium,80880.0,310830.0,"640,00",450730,380780.0,0,0,12.03
C000008,2026-08-01,urbana_premium,0,36.66666666666666,Premium,80880.0,431160.0,"640,00",310830,370995.0,0,0,9.56
C000008,2026-09-01,urbana_premium,0,40.0,Premium,80880.0,419030.0,"640,00",431160,425095.0,0,0,4.75
C000008,2026-10-01,urbana_premium,0,46.66666666666666,Premium,80880.0,277530.0,"640,00",419030,348280.0,0,0,11.67
C000008,2026-11-01,urbana_premium,0,,Premium,34568.127921801955,266360.0,,277530,271945.0,0,1,67.15
C000008,2026-12-01,urbana_premium,0,30.0,Premium,80880.0,395340.0,"640,00",266360,330850.0,0,0,14.24
C000009,2026-02-01,urbana_premium,0,35.0,Premium,51910.0,1067120.0,"250,00",739120,903120.0,0,0,4.35
C000009,2026-03-01,urbana_premium,0,40.0,Premium,51910.0,1070980.0,"250,00",1067120,1069050.0,0,0,5.38
C000009,2026-04-01,urbana_premium,0,32.5,Premium,51910.0,703130.0,"250,00",1070980,887055.0,0,0,9.15
C000009,2026-05-01,urbana_premium,0,35.0,Premium,51910.0,390240.0,"250,00",703130,546685.0,0,0,8.89
C000009,2026-06-01,urbana_premium,0,30.0,Premium,51910.0,766920.0,"250,00",390240,578580.0,0,0,4.01
C000009,2026-07-01,urbana_premium,0,40.0,Premium,51910.0,1069520.0,"250,00",766920,918220.0,0,0,5.18
C000009,2026-08-01,urbana_premium,0,40.0,Premium,51910.0,760240.0,"250,00",1069520,914880.0,0,0,5.59
C000009,2026-09-01,urbana_premium,0,46.66666666666666,Premium,51910.0,1408970.0,"250,00",760240,1084605.0,0,0,5.18
C000009,2026-10-01,urbana_premium,0,,Premium,34568.127921801955,1052430.0,,1408970,1230700.0,0,0,12.91
